Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Yaw,Pitch,Roll
2.221999999999977,0.5795559317789349,7.467907836380648e-16,1.137808458609884,0.017768038941608895,-4.820292653367384e-16,-0.10821111933471582,3.7176809670279927e-17,-0.23258910438353186,5.90503481703914e-16
2.2239999999999767,0.5795914678568181,7.458267251073913e-16,1.1375920363712146,0.01834066946173471,-4.931911930048886e-16,-0.10823296484798395,3.705484293265022e-17,-0.23271950315471118,5.863053396695707e-16
2.2259999999999764,0.5796281491957416,7.448403427213815e-16,1.1373755704415187,0.018910837075786762,-5.042755805769726e-16,-0.10825154987774367,3.6966314716375986e-17,-0.232850307959922,5.815443986906379e-16
2.227999999999976,0.5796659708698931,7.438317915602276e-16,1.1371590673417633,0.019478532446638344,-5.152717105542671e-16,-0.10826689302551551,3.720604093720088e-17,-0.23298151201778128,5.765965695226602e-16
2.229999999999976,0.5797049279347865,7.428012481391191e-16,1.1369425335557122,0.02004374637395446,-5.261758167572301e-16,-0.10827901288393163,3.7479308092455194e-17,-0.23311310857594153,5.713078155918105e-16
2.231999999999976,0.5797450154275343,7.417488965056046e-16,1.1367259755299444,0.020606469793758145,-5.369813807689078e-16,-0.1082879280362582,3.7781389475720426e-17,-0.23324509091103768,5.65790234005181e-16
2.2339999999999756,0.5797862283671218,7.406749337440668e-16,1.1365093996738718,0.021166693777995738,-5.47684008922183e-16,-0.10829365705591995,3.812659481498926e-17,-0.23337745232863338,5.598184567008018e-16
2.2359999999999753,0.5798285617546778,7.395795657262224e-16,1.13629281235976,0.02172440953410107,-5.582750258058944e-16,-0.10829621850602703,3.849594826470503e-17,-0.23351018616316732,5.535078731794032e-16
2.237999999999975,0.5798720105737459,7.384630156746107e-16,1.1360762199227479,0.022279608404558626,-5.68747950869217e-16,-0.10829563093890397,3.888948725712185e-17,-0.2336432857778996,5.469694843331452e-16
2.239999999999975,0.5799165697905551,7.373255197728723e-16,1.13585962866087,0.022832281866465673,-5.790984059162698e-16,-0.10829191289562103,3.929296090569658e-17,-0.23377674456485834,5.404287377466163e-16
2.2419999999999747,0.579962234354288,7.361673229610397e-16,1.1356430448350787,0.02338242153109335,-5.893262948472962e-16,-0.10828508290552759,3.973494330902645e-17,-0.23391055594478602,5.335459402414855e-16
2.2439999999999745,0.5800089991973502,7.349886703713451e-16,1.1354264746692677,0.02393001914344675,-5.99425062888706e-16,-0.108275159485788,3.988731601136296e-17,-0.23404471336708663,5.263972616564522e-16
2.2459999999999742,0.5800568592356371,7.337898202455677e-16,1.1352099243502962,0.024475066581823995,-6.093897768312449e-16,-0.10826216114091958,3.977863452239782e-17,-0.23417921030977232,5.18754184686833e-16
2.247999999999974,0.5801058093688007,7.325710406919053e-16,1.1349934000280144,0.025017555857374293,-6.192111478990468e-16,-0.10824610636233284,3.9675234339071755e-17,-0.2343140402794112,5.108879776911302e-16
2.249999999999974,0.5801558444805155,7.313326183961072e-16,1.1347769078152898,0.025557479113655003,-6.288848855247414e-16,-0.10822701362787414,3.958665385311624e-17,-0.23444919681107462,5.026854009645457e-16
2.2519999999999736,0.5802069594387428,7.300748486250577e-16,1.134560453788034,0.026094828626187717,-6.384045432777076e-16,-0.10820490140137043,3.950818395897886e-17,-0.2345846734682856,4.942585638649863e-16
2.2539999999999734,0.5802591490959952,7.287980395385023e-16,1.1343440439852313,0.026629596802013315,-6.47765803068748e-16,-0.10817978813217644,3.943985383938845e-17,-0.23472046384296735,4.856074548516594e-16
2.255999999999973,0.5803124082895992,7.275025079323647e-16,1.134127684408967,0.027161776179246075,-6.569643451981743e-16,-0.10815169225472406,3.9391205700412905e-17,-0.23485656155539203,4.767298492646006e-16
2.257999999999973,0.5803667318419576,7.261885792419684e-16,1.1339113810244574,0.027691359426626757,-6.65995801318271e-16,-0.10812063218807409,3.935750521000925e-17,-0.23499296025413086,4.677378615591909e-16
2.2599999999999727,0.5804221145608109,7.248565876393319e-16,1.1336951397600812,0.028218339343074713,-6.748579334846052e-16,-0.1080866263354703,3.934353358549336e-17,-0.23512965361600385,4.586303707984174e-16
2.2619999999999725,0.5804785512394971,7.235068717723627e-16,1.1334789665074103,0.02874270885723901,-6.835484795974962e-16,-0.10804969308389566,3.933978918139468e-17,-0.23526663534603096,4.492985589522341e-16
2.2639999999999723,0.5805360366572115,7.221397748131676e-16,1.1332628671212426,0.029264461027048567,-6.920631150215633e-16,-0.10800985080363114,3.93463112306296e-17,-0.2354038991773831,4.397424119550251e-16
2.265999999999972,0.5805945655792656,7.207556485831246e-16,1.1330468474196354,0.029783589039261284,-7.003975135653511e-16,-0.10796711784781664,3.937265121530037e-17,-0.23554143887133483,4.298486741673362e-16
2.267999999999972,0.5806541327573441,7.193548535559938e-16,1.1328309131839398,0.030300086209012207,-7.08545190767981e-16,-0.10792151255201429,3.942360419596392e-17,-0.2356792482172167,4.197272384770265e-16
2.2699999999999716,0.5807147329297622,7.179377631744578e-16,1.1326150701588358,0.030813945979360664,-7.165017461323053e-16,-0.10787305323377416,3.9480170229348295e-17,-0.23581732103236916,4.0938253004316415e-16
2.2719999999999714,0.5807763608217209,7.165047596821932e-16,1.1323993240523682,0.03132516192083644,-7.242628718796354e-16,-0.10782175819220223,3.956615641907671e-17,-0.2359556511620967,3.9880898252918016e-16
2.273999999999971,0.5808390111455626,7.150562339384339e-16,1.1321836805359837,0.03183372773098492,-7.318241411099531e-16,-0.10776764570753075,3.966256430274711e-17,-0.23609423247962347,3.8812204551914296e-16
2.275999999999971,0.5809026786010245,7.13592585656214e-16,1.1319681452445687,0.03233963723391123,-7.391833305162117e-16,-0.10771073404069097,3.9764664956779176e-17,-0.2362330588860487,3.771008959444796e-16
2.2779999999999707,0.5809673578754924,7.121142189951816e-16,1.1317527237764873,0.03284288437982338,-7.46334019896611e-16,-0.10765104143288817,3.959175608118521e-17,-0.23637212431030402,3.6581136696259213e-16
2.2799999999999705,0.581033043644252,7.106215509553884e-16,1.1315374216936216,0.03334346324457439,-7.532711795742761e-16,-0.10758858610517913,3.9400765156550156e-17,-0.23651142270911088,3.5463739293504836e-16
2.2819999999999703,0.5810997305707412,7.091150085962399e-16,1.1313222445214113,0.0338413680292034,-7.599969508726473e-16,-0.10752338625805188,3.919645815603728e-17,-0.23665094806693937,3.4346684521368966e-16
2.28399999999997,0.5811674133067996,7.075950146944946e-16,1.1311071977488951,0.03433659305947571,-7.665113410543863e-16,-0.10745546007100794,3.8974086999828424e-17,-0.2367906943959677,3.3207867980961e-16
2.28599999999997,0.5812360864929185,7.060619920123859e-16,1.1308922868287532,0.03482913278542184,-7.728101547171253e-16,-0.10738482570214676,3.87479482194726e-17,-0.23693065573604255,3.206915971538178e-16
2.2879999999999696,0.5813057447584893,7.045163717029516e-16,1.1306775171773489,0.03531898178087554,-7.788933497057559e-16,-0.1073115012877528,3.8527563177827853e-17,-0.2370708261546404,3.091923422182611e-16
2.2899999999999694,0.581376382722051,7.029585850035402e-16,1.1304628941747734,0.035806134743010726,-7.847587244730256e-16,-0.10723550494188473,3.8293925326491253e-17,-0.23721119974683014,2.974743553963287e-16
2.291999999999969,0.5814479949915371,7.013890675545941e-16,1.1302484231648897,0.036290586491877413,-7.90402058305044e-16,-0.10715685475596722,3.803752548151003e-17,-0.23735177063523585,2.8576192449337334e-16
2.293999999999969,0.5815205761645209,6.998082634379841e-16,1.1300341094553779,0.036772331969936525,-7.958234033953589e-16,-0.10707556879838497,3.778692408779304e-17,-0.2374925329700015,2.740483453285556e-16
2.2959999999999687,0.5815941208284607,6.982166166311933e-16,1.129819958317781,0.0372513662415937,-8.010226710806002e-16,-0.10699166511407929,3.750879321617759e-17,-0.2376334809287558,2.625633811995521e-16
2.2979999999999685,0.581668623560944,6.966145712890321e-16,1.1296059749875529,0.03772768449273198,-8.060041640393761e-16,-0.106905161724147,3.7212649803333256e-17,-0.2377746087165785,2.5108288443589504e-16
2.2999999999999683,0.5817440789299294,6.950025629609534e-16,1.1293921646641045,0.03820128203024346,-8.107679140395823e-16,-0.10681607662544172,3.691278507195888e-17,-0.2379159105659674,2.394924762055086e-16
2.301999999999968,0.5818204814939899,6.933810271328742e-16,1.1291785325108536,0.038672154281559804,-8.153117681995517e-16,-0.1067244277901776,3.6604434899396053e-17,-0.2380573807368066,2.281263493179199e-16
2.303999999999968,0.581897825802553,6.917504035964751e-16,1.1289650836552734,0.03914029679418171,-8.196399412776631e-16,-0.1066302331655355,3.628761401887219e-17,-0.23819901351633554,2.1654029377327747e-16
2.3059999999999676,0.5819761063961414,6.901111237139198e-16,1.1287518231889424,0.039605705235207254,-8.237481878592688e-16,-0.10653351067327155,3.622412642718992e-17,-0.2383408032191188,2.0533865718976583e-16
2.3079999999999674,0.5820553178066118,6.884636273382013e-16,1.128538756167596,0.04006837539085911,-8.27643654719358e-16,-0.10643427820932806,3.6404418532421035e-17,-0.2384827441870174,1.9507866817426515e-16
2.309999999999967,0.5821354545573935,6.868083400287626e-16,1.1283258876111772,0.0405283031660107,-8.31344116339988e-16,-0.10633255364344708,3.62285744502536e-17,-0.23862483078916055,1.8545810835242685e-16
2.311999999999967,0.5822165111637255,6.851456517960826e-16,1.1281132225038903,0.04098548458371117,-8.348618711829516e-16,-0.1062283548187861,3.5986933873526075e-17,-0.2387670574219188,1.7640840508920339e-16
2.3139999999999668,0.5822984821328929,6.834759280537167e-16,1.1279007657942528,0.041439915784709284,-8.382077808263241e-16,-0.1061216995515364,3.599843469238539e-17,-0.23890941850887754,1.679649184816856e-16
2.3159999999999665,0.5823813619644623,6.817995124920641e-16,1.1276885223951498,0.04189159302697616,-8.413932406910442e-16,-0.10601260563054374,3.597737797680886e-17,-0.23905190850081198,1.5997333958250503e-16
2.3179999999999663,0.5824651451505163,6.80116726010682e-16,1.1274764971838886,0.04234051268522686,-8.444268393822929e-16,-0.10590109081693151,3.592848160937109e-17,-0.23919452187566298,1.5243244582823514e-16
2.319999999999966,0.5825498261758867,6.784278723319174e-16,1.1272646950022547,0.04278667125044085,-8.473171433122957e-16,-0.10578717284372634,3.5818370586540836e-17,-0.2393372531385134,1.453501624879836e-16
2.321999999999966,0.5826353995183876,6.767332380452928e-16,1.1270531206565673,0.04323006532938129,-8.500728880210255e-16,-0.10567086941548609,3.566604513403807e-17,-0.23948009682156585,1.3872201833536879e-16
2.3239999999999656,0.5827218596490463,6.750330922692507e-16,1.1268417789177363,0.04367069164411321,-8.52702718341005e-16,-0.10555219820793038,3.5471451724441826e-17,-0.23962304748412086,1.326590721142107e-16
2.3259999999999654,0.5828092010323346,6.733276868325687e-16,1.1266306745213204,0.044108547031520444,-8.552174003722676e-16,-0.10543117686757351,3.5248815145492024e-17,-0.2397660997125565,1.271578465636918e-16
