Time,PosX_1,PosY_1,PosZ_1,VelX_1,VelY_1,VelZ_1,Yaw_1,Pitch_1,Roll_1,PosX_2,PosY_2,PosZ_2,VelX_2,VelY_2,VelZ_2,Yaw_2,Pitch_2,Roll_2
1.378000000000001,0.7276949258118363,0.00042540849851830054,0.9780886806805872,0.22869545433435384,0.00015337215577097095,-0.3537360088894198,-0.001201353329539005,-0.33416411138185154,0.0007457205896064604,0.6837015631010592,-0.041722512233976466,1.611233952076637,0.6837015631010592,-0.041722512233976466,1.611233952076637,-0.05829229951754219,-0.03955356328708616,-0.2953919382898324
1.380000000000001,0.728152316720505,0.00042571524282984246,0.9773812086628083,0.22958083577817376,0.00014224197978263104,-0.3587591517066543,-0.0012038177957117355,-0.33380484900782853,0.0007406563374276327,0.6823108750846328,-0.0430396403612242,1.611530501001942,0.6823108750846328,-0.0430396403612242,1.611530501001942,-0.05783851891712554,-0.04002288707355444,-0.2944772991544742
1.382000000000001,0.7286114783920613,0.0004259997267894077,0.976663690359395,0.23045904136916756,0.00013113688999150664,-0.363715850782506,-0.0012062124807515353,-0.3334496374943817,0.0007360774607637173,0.6809288075187938,-0.04434707266765382,1.6118216139473243,0.6809288075187938,-0.04434707266765382,1.6118216139473243,-0.057384426066111376,-0.040497200363521633,-0.293559483019804
1.384000000000001,0.7290723964747996,0.00042626200056939073,0.9759362586578301,0.23132999708076626,0.00012005107621108064,-0.36860603309172846,-0.0012090211686877452,-0.33309848014843846,0.0007323831010534389,0.6795553429727311,-0.04564482929318999,1.6121073234426821,0.6795553429727311,-0.04564482929318999,1.6121073234426821,-0.05692948815448996,-0.04097580231459489,-0.29263808884012754
1.386000000000001,0.7295350564689611,0.00042650210272181287,0.9751990465916466,0.2321936331803213,0.00010897275278471648,-0.3734296439094804,-0.0012114118590961737,-0.33275200141847405,0.000726588622439375,0.6781904638189524,-0.04693293053545692,1.6123876620413853,0.6781904638189524,-0.04693293053545692,1.6123876620413853,-0.05647497245606691,-0.04145782101288041,-0.2917144623526578
1.388000000000001,0.7299994437353218,0.00042672004822738233,0.9744521873038277,0.23304987499488244,9.793179049254394e-05,-0.37818664607823316,-0.0012134235936782458,-0.33240952254718276,0.000720496846888674,0.6768341522507737,-0.04821139686036079,1.6126626623184663,0.6768341522507737,-0.04821139686036079,1.6126626623184663,-0.05601982497516683,-0.041944348313150984,-0.29078689557145326
1.390000000000001,0.7304655434853116,0.0004269159118083674,0.9736958140116712,0.23389866190172046,8.693349634306684e-05,-0.38287702053387274,-0.0012152126657428372,-0.33207158282534455,0.0007133788902388702,0.6754863903267729,-0.04948024887029916,1.6129323568485259,0.6754863903267729,-0.04948024887029916,1.6129323568485259,-0.05556469253947446,-0.04243537673922703,-0.28985465164153235
1.392000000000001,0.730933340809115,0.00042708977880105356,0.9729300599706034,0.23473992921124953,7.599324944268931e-05,-0.3875007650575283,-0.001216295927867978,-0.3317385384672884,0.0007070483262599682,0.6741471599195465,-0.050739507350644496,1.61319677823111,0.6741471599195465,-0.050739507350644496,1.61319677823111,-0.055109144806353434,-0.04293024535869071,-0.28892032107045545
1.394000000000001,0.7314028206675375,0.00042724176529993895,0.9721550584404884,0.2355736105854918,6.510171294784625e-05,-0.3920578939705508,-0.0012173138681827033,-0.3314096325540103,0.0007012889236822795,0.6728164427201758,-0.05198919330067482,1.6134559590968565,0.6728164427201758,-0.05198919330067482,1.6134559590968565,-0.05465307845018571,-0.04342958704729475,-0.28798466274750334
1.396000000000001,0.7318739678887085,0.00042737196872583464,0.9713709426525473,0.2363996546820581,5.425187478232057e-05,-0.39654843871105994,-0.001218163068474151,-0.3310854863823146,0.0006959513588930764,0.6714942202622252,-0.053229327844821706,1.6137099320752624,0.6714942202622252,-0.053229327844821706,1.6137099320752624,-0.054197253303911404,-0.04393222827983623,-0.28704582031378617
