Epoch	EpRet	EpLen	TotalEnvInteracts	Time	VVals_1	LossPi_1	LossV_1	Entropy_1	KL_1	ClipFrac_1
116	84.371124	559.0	585000	564.0346705913544	10.890908	2.2315978e-08	6.3475814	0.8970623	4.9490285e-05	0.0
117	84.07261	559.875	590000	568.508540391922	10.857356	-1.411438e-08	5.5216403	0.89681834	7.29156e-05	0.0
118	85.12324	561.875	595000	572.4309628009796	10.81824	3.7026407e-08	5.907726	0.8964775	2.843628e-05	0.0
119	83.115974	554.0	600000	576.1820702552795	10.684553	-4.53949e-08	5.0562377	0.89613223	-5.6818844e-05	0.0
120	83.34262	554.8889	605000	580.1574606895447	10.704497	3.414154e-08	4.934493	0.8958291	0.0002250453	0.0
121	82.85574	551.0	610000	584.0962653160095	10.749019	3.3187867e-08	4.823867	0.89557695	1.2437916e-05	0.0
122	85.39755	567.875	615000	587.9037413597107	10.975375	-2.861023e-09	4.5193086	0.89536095	0.0004264081	0.0
123	82.420975	550.1111	620000	591.7390060424805	10.926543	9.536743e-09	4.1229577	0.8950963	0.00023541012	0.0
124	81.629364	545.7778	625000	599.1263220310211	11.073251	2.4223327e-08	3.8156323	0.89476043	0.00028637866	0.0
125	84.31308	563.0	630000	606.4495158195496	11.251649	1.7166137e-09	3.8437169	0.89449143	0.00013650482	0.0
126	82.17287	549.6667	635000	611.9441187381744	11.262285	-1.3637543e-08	3.5821426	0.8942778	0.00045457916	0.0
127	83.89161	561.125	640000	616.4045152664185	11.376852	-9.346008e-09	3.452539	0.8940791	0.0003596992	0.0
128	87.117905	580.25	645000	623.9039340019226	11.553222	1.27792354e-08	3.5558903	0.89388037	-0.00017734921	0.0
129	85.42947	572.75	650000	627.8586468696594	11.558516	-4.0245055e-08	3.2415814	0.8936982	0.00016047263	0.0
130	90.002205	599.125	655000	634.8033576011658	11.573413	3.8146974e-09	3.3676813	0.89355236	-4.8927046e-05	0.0
131	93.36754	617.375	660000	638.7839012145996	11.588936	9.918213e-09	3.6214938	0.8934346	0.00028026954	0.0
132	99.175835	653.1429	665000	642.7444584369659	11.766608	6.3037874e-08	3.9098177	0.89330214	1.1125469e-05	0.0
133	100.20381	661.8571	670000	649.0558414459229	11.832362	2.0694733e-08	3.7374985	0.8930538	0.0005695321	0.0
134	103.60615	683.1429	675000	656.5177826881409	11.847011	-8.773804e-09	3.6604538	0.89273596	0.0011546044	0.0
135	116.664856	762.5	680000	663.9819796085358	12.0670185	-6.2561035e-08	4.271323	0.8924279	-0.00018232735	0.0
136	115.4927	760.3333	685000	668.6263132095337	12.103051	-2.1648408e-08	3.7467434	0.8921227	0.0003400206	0.0
137	117.04917	765.8333	690000	672.616260766983	12.116539	2.0980835e-08	3.9327023	0.8918137	0.00044947272	0.0
138	121.60641	793.6667	695000	676.8365461826324	12.140487	-1.1062622e-08	3.890879	0.8914578	0.00027888516	0.0
139	125.56002	825.0	700000	681.6021137237549	12.193303	-2.632141e-08	3.5651133	0.8911318	-5.2746273e-05	0.0
140	123.38501	805.6667	705000	685.618331193924	12.234828	-2.4032593e-08	3.7226396	0.89081836	0.00027839083	0.0
141	127.50786	836.0	710000	689.5564684867859	12.41184	2.2888184e-08	3.435124	0.8905173	7.1969225e-05	0.0
142	122.92728	807.6667	715000	694.228963136673	12.344884	-2.155304e-08	3.138832	0.8902444	0.00018969519	0.0
143	117.81718	774.3333	720000	698.9026336669922	12.389345	-2.4795532e-09	3.243676	0.8899796	-0.00019342027	0.0
144	129.28595	846.4	725000	702.8471841812134	12.48425	-3.7765503e-08	3.1764061	0.88975227	0.0001349817	0.0
145	112.560455	741.5	730000	710.2697017192841	12.493464	-4.673004e-09	2.7916956	0.8895446	-0.0002603619	0.0
146	120.38211	791.0	735000	715.6545190811157	12.566524	3.4332275e-09	2.8279185	0.88929695	0.00025890835	0.0
147	120.21298	795.5	740000	722.6747109889984	12.606481	-1.1825562e-08	2.4131117	0.8889925	0.0007767029	0.0
148	109.49936	730.8333	745000	729.6663854122162	12.61401	2.861023e-09	2.288511	0.88865876	0.00030350997	0.0
149	115.31802	762.6667	750000	733.3550863265991	12.657814	3.3187867e-08	2.286728	0.8883457	-0.00026061534	0.0
150	103.5828	691.2857	755000	737.3367989063263	12.431383	-1.5258789e-09	1.97225	0.8881201	-7.044866e-05	0.0
151	99.953354	668.0	760000	741.3368365764618	12.429703	3.8146972e-10	1.851427	0.8879115	2.9650973e-05	0.0
152	97.369545	658.0	765000	748.8468544483185	12.447332	1.6498566e-08	1.8010027	0.8877459	0.0008287779	0.0
153	93.55052	633.1429	770000	752.8139569759369	12.250384	5.340576e-09	1.779068	0.8876465	-0.00020698964	0.0
154	87.41429	593.875	775000	757.6830096244812	12.23728	9.536743e-09	1.6745721	0.88756496	0.0006348742	0.0
155	84.73572	577.625	780000	765.2030265331268	12.254816	3.2424927e-09	1.5464909	0.8874583	0.0009113462	0.0002
156	79.29789	547.2222	785000	769.0085961818695	12.059012	-3.0517577e-09	1.7119203	0.88738984	0.002091278	0.0
157	76.930756	532.8889	790000	772.8163259029388	12.069901	-1.5258789e-09	1.6944553	0.88738006	0.0009854118	0.0006
158	72.10017	499.8889	795000	776.704293012619	11.937431	5.340576e-09	1.9718394	0.8873715	0.0012892307	0.0
159	69.99228	490.4	800000	780.7090165615082	11.985384	1.0204316e-08	2.303665	0.88729334	0.0010953061	0.0
160	63.381325	441.72726	805000	788.1407606601715	12.439831	-6.008148e-09	4.7203627	0.88714004	2.6208638e-06	0.0
161	67.20993	466.5	810000	795.6765041351318	12.298912	-6.2942505e-09	3.133349	0.887042	0.0004897721	0.0
162	64.85312	453.27274	815000	803.1146242618561	12.17969	1.7166137e-09	3.701139	0.8869161	0.0009369338	0.0002
163	69.61944	487.8	820000	808.6514475345612	11.629186	-7.629395e-09	2.2245224	0.88683933	0.00088243035	0.0
164	71.609474	501.55554	825000	816.1077826023102	11.58657	2.5749207e-09	2.3049703	0.88674045	0.0012772538	0.0
165	73.62946	515.55554	830000	820.97119140625	11.769311	1.01089475e-08	1.9053277	0.8866308	0.00019713197	0.0
166	73.443115	512.0	835000	828.3360939025879	12.035072	3.4809113e-09	2.5356786	0.8865768	0.0010120206	0.0004
167	79.741425	555.3333	840000	832.9687793254852	11.977611	-7.2956086e-09	1.7616453	0.8864998	0.002274538	0.0054
168	82.82591	577.625	845000	836.7894380092621	12.247519	-4.2915342e-09	1.66266	0.886394	0.0014631351	0.0014
169	89.66706	622.5	850000	844.324887752533	12.280393	1.335144e-09	1.8497064	0.88631123	0.0016199189	0.0004
170	97.76912	674.8571	855000	848.752920627594	12.454704	-3.1471252e-09	1.679436	0.88622034	0.0004369603	0.0
171	93.84589	652.4286	860000	852.7214286327362	12.406037	1.2207031e-08	1.7643615	0.8860871	0.0005730282	0.0
172	94.74122	662.8571	865000	857.1939265727997	12.349094	1.2397766e-08	1.7233789	0.8859541	-1.2274194e-05	0.0
173	99.33993	683.8571	870000	861.0839514732361	12.280541	1.0442734e-08	1.6730393	0.8858231	0.0013705428	0.0
174	105.324776	728.0	875000	868.5474598407745	12.457859	-6.1035155e-09	1.6798381	0.88561106	0.0013600258	0.0002
175	104.84732	724.6667	880000	873.9143776893616	12.454384	2.861023e-09	1.7159668	0.88531023	0.0005225466	0.0
176	115.156395	794.5	885000	881.3304617404938	12.467256	5.531311e-09	1.7423714	0.88501006	0.00032540644	0.0
177	120.12661	817.1667	890000	885.150313615799	12.495331	9.918213e-09	2.04087	0.88469034	-0.00010042966	0.0
178	120.12152	820.8333	895000	892.6126186847687	12.490332	-1.206398e-08	1.7254101	0.884397	0.0002413419	0.0
179	119.879326	817.0	900000	897.901664018631	12.503777	7.4386595e-09	1.8703203	0.88407063	0.0011656607	0.0
180	120.27934	828.6	905000	901.5556972026825	12.554245	-3.671646e-09	1.9850824	0.8838089	0.001369966	0.0004
181	116.519264	802.3333	910000	905.8607351779938	12.589797	1.5258789e-09	1.7117406	0.88356817	0.0021970088	0.0012
182	114.07584	796.0	915000	909.5935101509094	12.620525	3.2424927e-09	1.5858692	0.8833119	0.0013927402	0.0
183	102.74036	724.5	920000	917.1201605796814	12.561211	-6.6757204e-09	1.8002127	0.8830943	7.6820616e-05	0.0
184	102.200035	719.8333	925000	921.036785364151	12.520791	2.2888185e-09	2.052559	0.8828556	0.0007693673	0.0
185	110.677605	781.1667	930000	924.8498713970184	12.608269	-1.5258789e-09	1.8583488	0.88264114	0.0007495238	0.0
186	99.37374	701.8333	935000	932.3554339408875	12.35225	3.8146974e-09	1.7464845	0.88237697	0.000628981	0.0
187	103.36926	730.5	940000	936.839831829071	12.48773	4.863739e-09	1.8935605	0.88207775	0.00061050704	0.0
188	102.44584	743.3333	945000	940.743063211441	12.530529	1.1157989e-08	1.9826297	0.8817541	0.00045280933	0.001
189	100.78277	728.8333	950000	945.3756313323975	12.471233	2.2029877e-08	2.0366163	0.88146925	0.0022109342	0.0092
190	100.33612	734.6667	955000	950.7626371383667	12.4561	8.9645384e-09	2.2163916	0.8812288	0.0037972198	0.009
191	92.416725	684.4286	960000	955.7104549407959	12.204733	3.376007e-08	2.600912	0.88100696	0.00318395	0.0226
192	88.87354	648.8571	965000	959.7559869289398	12.177167	-2.336502e-09	2.133582	0.8807621	0.0023541437	0.0054
193	83.21093	617.5	970000	964.3190248012543	11.9022	-4.386902e-09	2.5634568	0.8805325	0.0017400072	0.0038
194	79.80533	592.625	975000	968.1905958652496	11.889355	-3.0517577e-09	2.4236398	0.88030076	0.004293686	0.0052
195	76.80421	574.25	980000	972.8314311504364	11.890765	-5.722046e-09	2.4463246	0.8800736	0.0036206928	0.0128
196	73.68139	549.8889	985000	980.3541057109833	11.596833	-3.8146974e-09	2.5732243	0.8798469	0.0037745254	0.0064
197	68.013916	507.44446	990000	984.9734220504761	11.908461	4.673004e-09	3.6570508	0.87958944	0.0019853984	0.0026
198	67.06077	503.0	995000	988.8626253604889	11.585389	6.4849854e-09	3.0425112	0.8793424	0.0033298745	0.0014
199	62.599865	461.7	1000000	993.5318427085876	12.483237	-3.2424927e-09	7.3267	0.8791255	0.004268356	0.0036
200	72.29818	537.55554	1005000	1001.0240218639374	11.438574	-4.577637e-09	2.1523445	0.8789292	0.004751379	0.0332
201	77.47716	573.0	1010000	1005.5350949764252	11.5464325	5.38826e-09	2.143267	0.87876403	0.003326273	0.0104
202	84.78349	624.4286	1015000	1010.0474629402161	11.604245	-1.01089475e-08	2.6110673	0.878568	0.0026641095	0.0024
203	87.600136	642.5714	1020000	1013.9626190662384	11.5575285	0.0	1.6591178	0.87835544	0.000799857	0.0
204	91.11907	666.7143	1025000	1018.4963335990906	11.705309	-1.5449524e-08	1.7421517	0.8781826	0.0028438848	0.0018
205	85.43956	624.4286	1030000	1022.3684403896332	11.724597	4.196167e-09	2.9062831	0.87796915	0.00015665192	0.0
206	86.1443	642.1429	1035000	1026.1249160766602	11.81698	-6.4849854e-09	2.777676	0.8777281	0.00060807326	0.0
207	84.231	634.2857	1040000	1030.0966775417328	11.56376	5.340576e-09	1.8017828	0.8774215	0.0016150329	0.002
208	80.639145	605.625	1045000	1035.6986281871796	11.537288	7.629395e-09	1.9100027	0.8771035	0.00096600846	0.0
209	75.14216	570.25	1050000	1039.5001137256622	11.41066	1.039505e-08	1.7827106	0.87684333	-0.0007344268	0.0016
210	73.85368	555.5	1055000	1043.9408440589905	11.3266325	-1.1444092e-08	2.3774774	0.876605	0.001795824	0.0002
211	68.51755	516.1111	1060000	1051.42453789711	11.5578375	2.9563905e-09	3.2369046	0.8763275	0.00073986605	0.0
212	70.833954	531.8889	1065000	1055.373057126999	11.261777	-1.335144e-09	2.311868	0.8760402	-1.1353994e-05	0.0
213	67.384026	506.8889	1070000	1059.3529677391052	11.406743	1.9073486e-10	3.423355	0.8757412	0.00096639845	0.0
214	70.46239	530.2222	1075000	1063.8172705173492	10.974164	-2.6512145e-08	2.0737026	0.87542266	0.0012212298	0.0
215	75.78578	572.875	1080000	1068.265226840973	10.896776	-1.1825562e-08	1.715389	0.8751133	0.0017870241	0.0004
216	75.53686	575.625	1085000	1075.6355936527252	10.856569	1.449585e-08	1.6937057	0.8747957	0.003936477	0.0412
217	77.15968	590.875	1090000	1080.1501462459564	10.928168	1.4972686e-08	1.6232353	0.87444854	0.0020605288	0.0226
218	71.12016	551.44446	1095000	1084.7428078651428	10.922658	-1.449585e-08	2.9540675	0.8740921	0.0022953697	0.009
219	66.55379	511.1111	1100000	1092.2485027313232	11.185753	-1.2969971e-08	3.9173071	0.8737042	0.0016269024	0.0054
220	49.489788	383.66666	1105000	1096.159550189972	11.323962	2.9563903e-08	8.6287985	0.87334836	0.0057644863	0.0208
221	65.72952	516.3333	1110000	1100.0986678600311	11.227168	9.584427e-09	4.6327677	0.8729727	0.0054052835	0.0452
222	74.95239	601.75	1115000	1104.9329278469086	10.720407	-3.8146972e-10	2.0417027	0.8725771	0.007678723	0.0714
223	80.26054	638.1429	1120000	1112.3874154090881	10.691778	-1.4686584e-08	1.9284346	0.8722081	0.0045816214	0.0636
224	82.21517	650.7143	1125000	1116.9991731643677	10.623855	1.1444092e-09	1.6945994	0.87191033	0.00068620214	0.0022
225	82.26273	647.0	1130000	1120.7468671798706	10.596184	4.386902e-09	1.7023625	0.8715972	0.0017285544	0.008
226	78.88493	609.0	1135000	1126.1132395267487	10.326524	1.6975402e-08	1.9366268	0.8712955	0.0011204669	0.0052
227	81.22563	621.75	1140000	1129.910077571869	10.288643	-4.9591065e-09	1.8040897	0.8710045	0.0010706318	0.0
228	80.06674	614.75	1145000	1136.1802351474762	10.357351	5.0544737e-09	1.882654	0.8707514	0.00036591713	0.0
229	78.76752	600.0	1150000	1141.540783405304	10.289239	1.0490417e-08	1.6624722	0.87049824	0.0010998189	0.0
